version,1.7.0
info,balls_per_over,6
info,team,Vidarbha
info,team,Rajasthan
info,gender,male
info,season,2020/21
info,date,2021/01/11
info,event,Syed Mushtaq Ali Trophy
info,venue, Emerald Heights International School Ground
info,city,
info,toss_winner,Rajasthan
info,toss_decision,field
info,winner,Rajasthan
info,winner_wickets,3
info,player,Vidarbha,JM Sharma
info,player,Vidarbha,Atharva Taide
info,player,Vidarbha,Ganesh Satish
info,player,Vidarbha,RR Rathod
info,player,Vidarbha,Siddhesh Wath
info,player,Vidarbha,Akshay Karnewar
info,player,Vidarbha,AV Wankhade
info,player,Vidarbha,DG Nalkande
info,player,Vidarbha,NN Bhute
info,player,Vidarbha,Yash Thakur
info,player,Vidarbha,Akshay Wakhare
info,player,Rajasthan,DL Chahar
info,player,Rajasthan,KK Ahmed
info,player,Rajasthan,A Choudhary
info,player,Rajasthan,Ravi Bishnoi
info,player,Rajasthan,RD Chahar
info,player,Rajasthan,MN Singh
info,player,Rajasthan,Ankit Lamba
info,player,Rajasthan,MK Lomror
info,player,Rajasthan,R Bishnoi
info,player,Rajasthan,AL Menaria
info,player,Rajasthan,Arjit Gupta
info,registry,people,A Choudhary,18e6906e
info,registry,people,AL Menaria,8291f939
info,registry,people,AV Wankhade,5708d0b6
info,registry,people,Akshay Karnewar,e1e7f950
info,registry,people,Akshay Wakhare,ec9fc54b
info,registry,people,Ankit Lamba,90a3c0dc
info,registry,people,Arjit Gupta,145903a5
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,DG Nalkande,cd8d2859
info,registry,people,DL Chahar,23eeb873
info,registry,people,Ganesh Satish,0ed1a112
ball,1,17.2,Vidarbha,Yash Thakur,NN Bhute,KK Ahmed,0,1,1,,,,,"",""
ball,1,17.3,Vidarbha,Yash Thakur,NN Bhute,KK Ahmed,1,0,,,,,,"",""
ball,1,17.4,Vidarbha,NN Bhute,Yash Thakur,KK Ahmed,4,0,,,,,,"",""
ball,1,17.5,Vidarbha,NN Bhute,Yash Thakur,KK Ahmed,0,0,,,,,,"",""
ball,1,17.6,Vidarbha,NN Bhute,Yash Thakur,KK Ahmed,0,0,,,,,,"",""
ball,1,17.7,Vidarbha,NN Bhute,Yash Thakur,KK Ahmed,4,0,,,,,,"",""
ball,1,18.1,Vidarbha,Yash Thakur,NN Bhute,A Choudhary,1,0,,,,,,"",""
ball,1,18.2,Vidarbha,NN Bhute,Yash Thakur,A Choudhary,0,0,,,,,,caught,NN Bhute
ball,1,18.3,Vidarbha,Yash Thakur,Akshay Wakhare,A Choudhary,0,0,,,,,,"",""
ball,1,18.4,Vidarbha,Yash Thakur,Akshay Wakhare,A Choudhary,0,0,,,,,,"",""
ball,1,18.5,Vidarbha,Yash Thakur,Akshay Wakhare,A Choudhary,0,0,,,,,,"",""
ball,1,18.6,Vidarbha,Yash Thakur,Akshay Wakhare,A Choudhary,6,0,,,,,,"",""
ball,1,19.1,Vidarbha,Akshay Wakhare,Yash Thakur,DL Chahar,1,0,,,,,,"",""
ball,1,19.2,Vidarbha,Yash Thakur,Akshay Wakhare,DL Chahar,2,0,,,,,,"",""
ball,1,19.3,Vidarbha,Yash Thakur,Akshay Wakhare,DL Chahar,0,0,,,,,,bowled,Yash Thakur
ball,2,0.1,Rajasthan,MN Singh,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,0.2,Rajasthan,MN Singh,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,0.3,Rajasthan,MN Singh,Ankit Lamba,DG Nalkande,0,0,,,,,,caught,MN Singh
ball,2,0.4,Rajasthan,MK Lomror,Ankit Lamba,DG Nalkande,0,0,,,,,,lbw,MK Lomror
ball,2,0.5,Rajasthan,R Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,0.6,Rajasthan,R Bishnoi,Ankit Lamba,DG Nalkande,0,1,1,,,,,"",""
ball,2,0.7,Rajasthan,R Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,1.1,Rajasthan,Ankit Lamba,R Bishnoi,NN Bhute,0,0,,,,,,"",""
ball,2,1.2,Rajasthan,Ankit Lamba,R Bishnoi,NN Bhute,1,0,,,,,,"",""
ball,2,1.3,Rajasthan,R Bishnoi,Ankit Lamba,NN Bhute,4,0,,,,,,"",""
ball,2,1.4,Rajasthan,R Bishnoi,Ankit Lamba,NN Bhute,0,1,1,,,,,"",""
ball,2,1.5,Rajasthan,R Bishnoi,Ankit Lamba,NN Bhute,6,0,,,,,,"",""
ball,2,1.6,Rajasthan,R Bishnoi,Ankit Lamba,NN Bhute,1,0,,,,,,"",""
ball,2,1.7,Rajasthan,Ankit Lamba,R Bishnoi,NN Bhute,0,0,,,,,,"",""
ball,2,2.1,Rajasthan,R Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,2.2,Rajasthan,R Bishnoi,Ankit Lamba,DG Nalkande,0,1,1,,,,,"",""
ball,2,2.3,Rajasthan,R Bishnoi,Ankit Lamba,DG Nalkande,4,0,,,,,,"",""
ball,2,2.4,Rajasthan,R Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,2.5,Rajasthan,R Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,caught,R Bishnoi
ball,2,2.6,Rajasthan,Ravi Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,2.7,Rajasthan,Ravi Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,3.1,Rajasthan,Ankit Lamba,Ravi Bishnoi,Yash Thakur,1,0,,,,,,"",""
ball,2,3.2,Rajasthan,Ravi Bishnoi,Ankit Lamba,Yash Thakur,1,0,,,,,,"",""
ball,2,3.3,Rajasthan,Ankit Lamba,Ravi Bishnoi,Yash Thakur,0,0,,,,,,"",""
ball,2,3.4,Rajasthan,Ankit Lamba,Ravi Bishnoi,Yash Thakur,2,0,,,,,,"",""
ball,2,3.5,Rajasthan,Ankit Lamba,Ravi Bishnoi,Yash Thakur,0,0,,,,,,"",""
ball,2,3.6,Rajasthan,Ankit Lamba,Ravi Bishnoi,Yash Thakur,0,0,,,,,,"",""
ball,2,4.1,Rajasthan,Ravi Bishnoi,Ankit Lamba,DG Nalkande,4,0,,,,,,"",""
ball,2,4.2,Rajasthan,Ravi Bishnoi,Ankit Lamba,DG Nalkande,4,0,,,,,,"",""
ball,2,4.3,Rajasthan,Ravi Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,4.4,Rajasthan,Ravi Bishnoi,Ankit Lamba,DG Nalkande,6,0,,,,,,"",""
ball,2,4.5,Rajasthan,Ravi Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,"",""
ball,2,4.6,Rajasthan,Ravi Bishnoi,Ankit Lamba,DG Nalkande,0,0,,,,,,bowled,Ravi Bishnoi
ball,2,5.1,Rajasthan,Ankit Lamba,AL Menaria,Yash Thakur,0,0,,,,,,"",""
ball,2,5.2,Rajasthan,Ankit Lamba,AL Menaria,Yash Thakur,0,0,,,,,,"",""
ball,2,5.3,Rajasthan,Ankit Lamba,AL Menaria,Yash Thakur,0,1,1,,,,,"",""
ball,2,5.4,Rajasthan,Ankit Lamba,AL Menaria,Yash Thakur,1,0,,,,,,"",""
ball,2,5.5,Rajasthan,AL Menaria,Ankit Lamba,Yash Thakur,1,0,,,,,,"",""
ball,2,5.6,Rajasthan,Ankit Lamba,AL Menaria,Yash Thakur,0,0,,,,,,"",""
ball,2,5.7,Rajasthan,Ankit Lamba,AL Menaria,Yash Thakur,4,0,,,,,,"",""
ball,2,6.1,Rajasthan,AL Menaria,Ankit Lamba,NN Bhute,1,0,,,,,,"",""
ball,2,6.2,Rajasthan,Ankit Lamba,AL Menaria,NN Bhute,0,1,,,,1,,"",""
ball,2,6.3,Rajasthan,AL Menaria,Ankit Lamba,NN Bhute,0,0,,,,,,"",""
ball,2,6.4,Rajasthan,AL Menaria,Ankit Lamba,NN Bhute,1,0,,,,,,"",""
ball,2,6.5,Rajasthan,Ankit Lamba,AL Menaria,NN Bhute,0,0,,,,,,"",""
ball,2,6.6,Rajasthan,Ankit Lamba,AL Menaria,NN Bhute,1,0,,,,,,"",""
ball,2,7.1,Rajasthan,Ankit Lamba,AL Menaria,Akshay Wakhare,0,0,,,,,,"",""
ball,2,7.2,Rajasthan,Ankit Lamba,AL Menaria,Akshay Wakhare,0,0,,,,,,"",""
ball,2,7.3,Rajasthan,Ankit Lamba,AL Menaria,Akshay Wakhare,4,0,,,,,,"",""
ball,2,7.4,Rajasthan,Ankit Lamba,AL Menaria,Akshay Wakhare,1,0,,,,,,"",""
